match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
296735,T1 vs BLEED,Champions Tour 2024: Pacific Kickoff,2024-02-17 01:00:00,Bo3,T1 vs BLEED,2 - 0,2,Patch 8.02,BLD ban Ascent; T1 ban Icebox; BLD pick Breeze; T1 pick Lotus; BLD ban Sunset; T1 ban Bind; Split remains
296745,Gen.G vs Rex Regum Qeon,Champions Tour 2024: Pacific Kickoff,2024-02-17 08:45:00,Bo3,Gen.G vs Rex Regum Qeon,2 - 1,3,Patch 8.02,RRQ ban Ascent; GEN ban Bind; RRQ pick Icebox; GEN pick Split; RRQ ban Lotus; GEN ban Breeze; Sunset remains
296730,ZETA DIVISION vs Global Esports,Champions Tour 2024: Pacific Kickoff,2024-02-18 01:00:00,Bo3,ZETA DIVISION vs Global Esports,2 - 0,2,Patch 8.02,GE ban Lotus; ZETA ban Breeze; GE pick Bind; ZETA pick Icebox; GE ban Ascent; ZETA ban Split; Sunset remains
296731,Team Secret vs TALON,Champions Tour 2024: Pacific Kickoff,2024-02-18 03:30:00,Bo3,Team Secret vs TALON,0 - 2,2,Patch 8.02,TLN ban Icebox; TS ban Split; TLN pick Breeze; TS pick Ascent; TLN ban Bind; TS ban Lotus; Sunset remains
296736,DRX vs DetonatioN FocusMe,Champions Tour 2024: Pacific Kickoff,2024-02-18 05:30:00,Bo3,DRX vs DetonatioN FocusMe,2 - 0,2,Patch 8.02,DFM ban Icebox; DRX ban Sunset; DFM pick Lotus; DRX pick Breeze; DFM ban Split; DRX ban Ascent; Bind remains
296747,Gen.G vs Paper Rex,Champions Tour 2024: Pacific Kickoff,2024-02-19 01:00:00,Bo3,Gen.G vs Paper Rex,1 - 2,3,Patch 8.02,GEN ban Split; PRX ban Icebox; GEN pick Breeze; PRX pick Lotus; GEN ban Bind; PRX ban Ascent; Sunset remains
296738,BLEED vs Global Esports,Champions Tour 2024: Pacific Kickoff,2024-02-19 04:15:00,Bo3,BLEED vs Global Esports,1 - 2,3,Patch 8.02,GE ban Lotus; BLD ban Ascent; GE pick Sunset; BLD pick Icebox; GE ban Breeze; BLD ban Bind; Split remains
296737,T1 vs ZETA DIVISION,Champions Tour 2024: Pacific Kickoff,2024-02-19 08:00:00,Bo3,T1 vs ZETA DIVISION,2 - 1,3,Patch 8.02,ZETA ban Breeze; T1 ban Icebox; ZETA pick Ascent; T1 pick Lotus; ZETA ban Split; T1 ban Bind; Sunset remains
296733,DetonatioN FocusMe vs Team Secret,Champions Tour 2024: Pacific Kickoff,2024-02-20 03:00:00,Bo3,DetonatioN FocusMe vs Team Secret,0 - 2,2,Patch 8.02,DFM ban Icebox; TS ban Split; DFM pick Lotus; TS pick Breeze; DFM ban Sunset; TS ban Bind; Ascent remains
296732,DRX vs TALON,Champions Tour 2024: Pacific Kickoff,2024-02-20 05:20:00,Bo3,DRX vs TALON,2 - 0,2,Patch 8.02,DRX ban Lotus; TLN ban Bind; DRX pick Split; TLN pick Ascent; DRX ban Sunset; TLN ban Icebox; Breeze remains
296749,Gen.G vs Rex Regum Qeon,Champions Tour 2024: Pacific Kickoff,2024-02-21 01:00:00,Bo3,Gen.G vs Rex Regum Qeon,2 - 1,3,Patch 8.02,RRQ ban Ascent; GEN ban Bind; RRQ pick Lotus; GEN pick Breeze; RRQ ban Sunset; GEN ban Split; Icebox remains
296734,TALON vs Team Secret,Champions Tour 2024: Pacific Kickoff,2024-02-21 04:30:00,Bo3,TALON vs Team Secret,0 - 2,2,Patch 8.02,TS ban Split; TLN ban Icebox; TS pick Breeze; TLN pick Ascent; TS ban Bind; TLN ban Sunset; Lotus remains
296739,ZETA DIVISION vs Global Esports,Champions Tour 2024: Pacific Kickoff,2024-02-21 07:15:00,Bo3,ZETA DIVISION vs Global Esports,2 - 0,2,Patch 8.02,GE ban Icebox; ZETA ban Breeze; GE pick Bind; ZETA pick Lotus; GE ban Ascent; ZETA ban Split; Sunset remains
297254,Team Secret vs Gen.G,Champions Tour 2024: Pacific Kickoff,2024-02-22 01:00:00,Bo3,Team Secret vs Gen.G,1 - 2,3,Patch 8.02,TS ban Split; GEN ban Ascent; TS pick Breeze; GEN pick Lotus; TS ban Bind; GEN ban Sunset; Icebox remains
297253,ZETA DIVISION vs Team Secret,Champions Tour 2024: Pacific Kickoff,2024-02-22 04:20:00,Bo3,ZETA DIVISION vs Team Secret,0 - 2,2,Patch 8.02,TS ban Split; ZETA ban Breeze; TS pick Icebox; ZETA pick Ascent; TS ban Bind; ZETA ban Sunset; Lotus remains
297255,Gen.G vs ZETA DIVISION,Champions Tour 2024: Pacific Kickoff,2024-02-22 06:30:00,Bo3,Gen.G vs ZETA DIVISION,2 - 0,2,Patch 8.02,GEN ban Bind; ZETA ban Breeze; GEN pick Icebox; ZETA pick Ascent; GEN ban Sunset; ZETA ban Split; Lotus remains
297256,T1 vs Paper Rex,Champions Tour 2024: Pacific Kickoff,2024-02-24 03:00:00,Bo3,T1 vs Paper Rex,0 - 2,2,Patch 8.03,PRX ban Breeze; T1 ban Icebox; PRX pick Split; T1 pick Ascent; PRX ban Bind; T1 ban Lotus; Sunset remains
297257,DRX vs Gen.G,Champions Tour 2024: Pacific Kickoff,2024-02-24 05:25:00,Bo3,DRX vs Gen.G,0 - 2,2,Patch 8.03,DRX ban Icebox; GEN ban Breeze; DRX pick Bind; GEN pick Lotus; DRX ban Split; GEN ban Sunset; Ascent remains
297258,Paper Rex vs Gen.G,Champions Tour 2024: Pacific Kickoff,2024-02-25 03:00:00,Bo5,Paper Rex vs Gen.G,1 - 3,4,Patch 8.03,GEN ban Sunset; PRX ban Icebox; GEN pick Ascent; PRX pick Split; GEN pick Lotus; PRX pick Bind; Breeze remains
